,username,comment,Pre-processing,label_sentimen,score,sentimen_numerik
953,annisanrkv,Bukannya membuka lapangan kerja juga ya,buka lapang kerja,positif,0.28769999999999996,1
954,skydive501,Korupsi mengganggu kesejahteraan masyarakat,korupsi ganggu sejahtera masyarakat,negatif,-0.9001,0
955,nle.arn,Bisnis impor bahan pangan sangat mengganggu petani lokal,bisnis impor bahan pangan ganggu tani lokal,negatif,-0.26259999999999994,0
957,sigitsupriatna_,Baru kalo ini gw setuju sama si joko,saya tuju joko,negatif,-0.26259999999999994,0
958,amanduuut,"ga semua org punya duit lebih buat beli produk lokal yg harganya ga ngotak tp kualitas msh dibawah standard, semua punya pasarnya masing2 barang thrift ini udh ada dari dulu dan tetep kan distro2 juga pada banyak peminat pedagang thrift yg dari dulu ada juga tetep ada peminatnya jd yg dirugikan siapa? dan tetep intinya apa bang messi? yak btul duit. harus bayar pajak bea cukai biar jd legal. tar uangnya buat hehedonan anak istri pejabat👏",orang duit beli produk lokal harga ngotak tetapi kualitas masih bawah standar pasar barang thrift sudah tetap distro minat dagang thrift tetap minat rugi tetap inti bang messi yak betul duit bayar pajak bea cukai legal nanti uang hehedonan anak istri jabat,positif,0.0020999999999999908,1
959,riodiarsa,Ampun pak,ampun,negatif,-0.36240000000000006,0
962,raydinhoo,Sangat membantu mahasiswa pak dengan adanya monza dan pamela,bantu mahasiswa monza pamela,negatif,-0.10599999999999998,0
963,ika_widayanti_,"Kenapa baru di notice sekarang, kan udah rame dari tahun tahun kemarin 🙄",notice sudah ramai kemarin,negatif,-0.03480000000000005,0
964,bantuin_nugas_,Terus gimana pak ? Sy tiap gajian beli celana second terus hehe,bagaimana saya gaji beli celana second,negatif,-0.38139999999999996,0
966,stvnzrio,"Tidak ada solusi, waktu nya pakai kaos pdi",solusi pakai kaos pdi,negatif,-0.10599999999999998,0
967,mr.kocuu,Borongan jaket vtg nya ada di @stayup.second x75 / pcs bonus nike dunk,borong jaket vtg second pcs bonus nike dunk,positif,0.12179999999999991,1
968,abdlaziz26_,Terus gimana nasib nya org gembel?,bagaimana nasib orang gembel,negatif,-0.7906,0
969,zeus.thriftshop,Yuk mari mampir,yuk mari mampir,positif,0.21409999999999996,1
972,dul_mull,Ketawalah sebelum ketawa dilarang,ketawa tertawa larang,positif,0.3061999999999999,1
973,cemilin.idn,menurut saya yang lebih mengganggu adalah koruptor yang korupsi uang rakyat pak🙌,ganggu koruptor korupsi uang rakyat,negatif,-0.9001,0
974,yumadestroyx,Halah mbokwes rejekine dewe2 dus,halah mbokwes rejekine sendiri dus,negatif,-0.9001,0
978,cuhzzz.ind,Banyak banget yang bandingin harga bekas (trift) sama produk lokal YANG KATANYA MAHAL mana bisa barang baru disandingkan dengan YANG BEKAS triftingan swbelum jadi bekas juga barunya mahal kali,banget bandingin harga bekas trift produk lokal mahal barang sanding bekas triftingan swbelum bekas baru mahal kali,positif,0.040200000000000014,1
980,bogelrdty,Cari lokal yang motif beruang petir ka,cari lokal motif beruang petir ka,negatif,-0.8402,0
981,cuhzzz.ind,"Gua masyarakat menengah bisa dapetin produk lokal dengan harga terjangkau kok bagus pula banyak yg nanya “eh beli dmna beli dmna” pakean gua terutama baju murah murah ko under 70rb pula, bisa pake produk lokal keren",saya masyarakat tengah dapetin produk lokal harga jangkau bagus tanya eh beli mana beli mana pakean saya baju murah murah ko under rb pakai produk lokal keren,positif,0.0050000000000000044,1
982,anxvbs.page,product local harga ga ngotak,produk lokal harga ngotak,positif,0.8402,1
983,megamraa,ya buktinya di tiktok banyak mba mba yang outfitnya samaan krn beli produk lokal ckckckkc,bukti tiktok mbak mbak outfitnya sama beli produk lokal ckckckkc,positif,0.059900000000000064,1
984,caroll_id_store,Rame nih numpang buka lapak ahh,ramai numpang buka lapak ahh,negatif,-0.059900000000000064,0
985,lalak.arceo671,lahh kami orang kurang mampu pak. beli baju lokal cuma dapet 1 kalo thrift bisa dapet 3 bonus ootd.,lahh orang beli baju lokal dapet thrift dapet bonus ootd,positif,0.11150000000000004,1
986,suraiserayaa,Paling ujung2 nya minta pajak tinggi,ujung pajak,negatif,-0.8402,0
987,dehermawan_15,setuju,tuju,negatif,-0.10599999999999998,0
988,wahyukrniawnn,@ridwansblnn gimana bisnismu sma boss ical masih aman,bagaimana bisnis sma boss ical aman,positif,0.6124,1
989,99.89.6964,"Cintai produk lokal, tapi produk lokalnya.... *cuma bisa senyum:)*",cinta produk lokal produk lokal senyum,positif,0.48440000000000005,1
990,zidanm0,"Kalo banyak belanja di luar, kapan beli rubicon hitamnya. #promoshopee#mainAman",belanja beli rubicon hitam,negatif,-0.21409999999999996,0
991,tmshhsmt,Pak @jokowi mau nambahin pengangguran apa?,nambahin anggur,negatif,-0.7184,0
992,aryadmth_,"Serius nanya,brand unqlo sama h&m menggangu industri dalam negri juga gak?",serius tanya brand unqlo menggangu industri negeri,negatif,-0.4162,0
993,ashafulatnantoro_,"Pada teriak brand lokal mahal2 kalo murah kualitas rendah , ini @aerostreet murah kualitas terjamin",teriak brand lokal mahal murah kualitas rendah murah kualitas jamin,negatif,-0.0037000000000000366,0
994,bachrulfiqih,Kasih solusi lah,kasih solusi,positif,0.5406,1
995,tmshhsmt,"Kemaren mau beli hoodie liat dibrand lokal harganya 200rban, nyari yang lain ada harga 95rb ternyata thrift shop tapi barang like new jadi belinya yang 95rb kebetulan duitnya cuma punya 100rb gratis ongkir ditiktok shop🤫",kemaren beli hoodie lihat dibrand lokal harga rban nyari harga rb thrift shop barang like new beli rb duit rb gratis ongkir ditiktok shop,positif,0.07489999999999997,1
997,irjano,Kalo import dari cina mungkin masih boleh,import cina,positif,0.4588,1
998,rezaandika195,Kemana aja bapak baru sadar sekarang😂,mana sadar,positif,0.20879999999999999,1
999,wldhn7,Jadi bijimana pak ustadz?,bijimana ustadz,positif,0.6124,1
1000,iilyasss___,"@jejouw bang kasih tau dah bang, cape gua haahaha",bang kasih sudah bang capek saya haahaha,negatif,-0.013900000000000023,0
1001,mahendrarizky_15,Yg lokal harganya PD overprice 😭,lokal harga pd overprice,positif,0.6124,1
1002,mikharindi,kata gua perbaiki kualitas dah kalo merasa industri dlm negri terganggu 😭🙂,saya baik kualitas sudah industri dalam negeri ganggu,positif,0.025900000000000034,1
1003,chullayyy,"Gua support UMKM dengan BRAND buatan nya sendiri bukan usaha tapi pakai design brand luar yg parah nya brand lokal pun kena imbas jika sesang hipe"" nya lalu di ke kan dengan dalih umkm, coba di bina dlu yg model gini,",saya support umkm brand buat usaha pakai design brand parah brand lokal kena imbas sang hipe dalih umkm coba bina dulu model begini,negatif,-0.04499999999999993,0
1004,the_zarfv02,Indonesia cuma butuh murah.. Bulan lalu beli baju di brand lokal yang satu toko merknya banyak cuma beli baju kaos yg bahannya juga ga bagus2 amat cuma 3 lembar udah habis 600 ribu.. Trus td cobain Nge thrift 100k dapat 8 baju. Baju masih bagus bahan oke 😂,indonesia butuh murah beli baju brand lokal toko merknya beli baju kaos bahan bagus lembar sudah habis ribu terus tadi cobain nge thrift baju baju bagus bahan oke,negatif,-0.0043999999999999595,0
1005,diegobagaskhara,Bagi saya satu kursi DPR pak saya akan berhenti jualan,kursi dpr henti jual,negatif,-0.46840000000000004,0
1006,rbby.exe,Brand lokal kadang kualitas pas pasan harganya selangit pak 😢,brand lokal kadang kualitas pas pas harga langit,positif,0.9719,1
1008,detie_lo,Betul banget pak ...kasian umkm,banget kasihan umkm,positif,0.17819999999999991,1
1010,dymasqueee,TKA sangat mengganggu pekerja dalam negri,tka ganggu kerja negeri,negatif,-0.25960000000000005,0
1012,bagusadt,kadang kadang lucu kadang kadang serius,kadang kadang lucu kadang kadang serius,positif,0.09319999999999995,1
1013,nadyafbryni,yg penting murah loh pa😢,murah pa,negatif,-0.26259999999999994,0
1014,phggxprcl,sUpPoRt LoCaL?,support lokal,positif,0.7184,1
1015,96s_stuff,Kalah kualitas nyalahin barang second . Kocak kocak . Pelayanan RS Bapuk juga nyalahin org yg berobat keluar indo wkwk kalo bapuk tu diperbaiki jgn caper wkwk,kalah kualitas nyalahin barang second kocak kocak layan rs bapuk nyalahin orang obat indonesia wkwk bapuk itu baik caper wkwk,negatif,-0.0686,0
1016,zabar977,Yg lokal aja 50 ribu pda bagus kok,lokal ribu pada bagus,negatif,-0.4162,0
1018,walnikmal_hakim,Yang menganggu dalam negeri ituu MENTRI pak sama DPR dan KPK. Bukan barang import,menganggu negeri ituu tri dpr kpk barang import,positif,0.4588,1
1019,upanjr23,"Netizen jangan gitu dong, kita harus saling membantu untuk anak anak mereka hidup mewah",netizen begitu bantu anak anak hidup mewah,negatif,-0.17320000000000002,0
1021,assalamualaikum_burger,Mari dukung UMKM lokal untuk maju dengan usaha pakaian bekas import🔥,mari dukung umkm lokal maju usaha pakai bekas import,positif,0.06809999999999994,1
1022,dodomerseyy,Iyakah? Astaga ngerinya,iya astaga ngeri,negatif,-0.28769999999999996,0
1023,_rimacwulan_,Golongan yg gak pernah beli brg thrift ☝🏽. Ga perlu merk bagus. Yg penting bhannya bagus.,golong beli barang thrift merk bagus bhannya bagus,negatif,-0.10300000000000009,0
1024,nrsfynhdyt,"emang paling bener pakai baju partai menuju 2024 , cuaaakkzz....🤣",emang bener pakai baju partai cuaakkzz,positif,0.5406,1
1025,maulanaasrori_,sampah yg dijual ?,sampah jual,negatif,-0.46840000000000004,0
1026,realgoodh,"urusan ga penting malah di pusingin,koruptor noh urus jgn ngemeng mulu",urus pusingin koruptor noh urus ngomong mulu,positif,0.20879999999999999,1
1028,fajarsaputra907,Beli thrift juga dapet kw juga 😂,beli thrift dapet kau,positif,0.10599999999999998,1
1029,manusiadigoa,"Nyari bahan sorry aje cepe dpt 3 bahannya adem bgt anju suka dpt uniqlo jg yg bahannya ga ngotak ademnya. Klo gaji gw 2 digit gpp dah tiap beli baju lokal. Lah ini umr, biaya idup aje ngepres. Beli baju cepe 3, cepe 4 di senen bahagia lah😂",nyari bahan sorry saja cepe dapat bahan adem banget anju suka dapat uniqlo juga bahan ngotak adem gaji saya digit tidak-apa-apa sudah beli baju lokal umr biaya idup saja ngepres beli baju cepe cepe senin bahagia,negatif,-0.008700000000000041,0
1031,gadausernameee,"Menggangunya dari mana pak 😂 hidup itu pilihan namanya juga baju second atau baju bekas ya murah toh, dan juga baju second untung2an juga si pak ada yg bagus ada yg ga😂 bukan gamau beli baju lokal 😂 tp para pejabat aja suka baju liar pak seperti cenel dior fendi dll 😂 masa masyarakat beli baju luar yg second lagi gaboleh",menggangunya hidup pilih nama baju second baju bekas murah baju second untung an bagus tidak mau beli baju lokal tetapi jabat suka baju liar cenel dior fendi dan lain masyarakat beli baju second tidak boleh,negatif,-0.000300000000000078,0
1032,diansyaeful08,"Bebasin aja lah pakde,yg penting kan beli mau lokal ataupun impor juga",bebasin pakde beli lokal impor,negatif,-0.15360000000000007,0
1033,massbuds_,"Berati kalo mau beli pakaian branded, terus duid nya kurang. Berarti pemerintah harus ngasih subsidi buat beli pakaian tsb. Makin kesini makin kesana. 🙌",berat beli pakai branded duid perintah beri subsidi beli pakai sebut kesini kesana,negatif,-0.059900000000000064,0
1035,arigrande.88,Bagaimana dengan impor bahan pangan lainnya seperti beras gandum dll ???,impor bahan pangan beras gandum dan lain,negatif,-0.875,0
1036,_elvirgo,Gw ttap cinta pkaian bekas sprti kaos crewneck hoodie spatu clna topi😂😂,saya tetap cinta pkaian bekas seperti kaos crewneck hoodie spatu clna topi,negatif,-0.019199999999999995,0
1037,jekslle,paan si malah ngurusin baju bekas,paan urus baju bekas,positif,0.2277999999999999,1
1038,febiameliabangun,Cuman bisa di hehe-hehe'in aja ya pak 😁 Dan mau bilang juga saya dan ketiga abang saya bisa sekolah karena mamak kami jualan pakaian bekas dari LN ini dan sampai sekarang itu masih menjadi lahan mata pencaharian keluarga kami dan mungkin beratus ratus keluarga lainnya . Ga tau lagi deh kalau ntar ga ada / ga di bolehin jualan lagi gimana nasib kami . Tapi ya gpp mana tau bisa diangkat jadi PNS kan 😁🥳,cuma in tiga abang sekolah mamak jual pakai bekas ln lahan mata cahari keluarga atus ratus keluarga deh nanti bolehin jual bagaimana nasib tidak-apa-apa angkat pns,positif,0.0050000000000000044,1
1041,nebullaay,maksut..,maksud,positif,0.36240000000000006,1
1042,all.good.fashion,"yg setuju ngumpul dimariii, cek koleksi kita yahh.. #localpride 👏👏",tuju ngumpul mari cek koleksi yahh,negatif,-0.01849999999999996,0
1043,dvtsar,"Enak thrifting pakkk, modelnya ga ada yang nyamain😭😭😭😭😭😭",enak thrifting pakk model nyamain,positif,0.18169999999999997,1
1044,fajaarpkng,"mau nimbrung ah , gmna ya brand lokal si bagus tapi secara kualitas kek kurang kuat gitu menang di desaign aja mungkin ada beberapa tapi ga banyak and justru barang thrifting itu ada keuntungan tersendiri semisal buka usaha modal kecil""an dari uang ga seberapa tapi dapat tshirt/Hoodie dll and kualitas juga bagus , itu menurut pandangan tersendiri aja si.",nimbrung ah bagaimana brand lokal bagus kualitas seperti kuat begitu menang desaign and barang thrifting untung sendiri buka usaha modal an uang tshirt hoodie dan lain and kualitas bagus pandang sendiri,negatif,-0.0041999999999999815,0
1045,slmn.v.o,"pk. kita bukannya gk mau ama produk lokal, tpi tolong harganya sesuaikan dgn kantong kami. sring produk lokal harganya selangit tpi bahan amit""🤭. brand dri luar juga tolong di stop juga jdi adil. jgn brand bekas aj yg di stop.",pakai tidak sama produk lokal tapi tolong harga sesuai kantong sering produk lokal harga langit tapi bahan amit brand dari tolong stop jadi adil brand bekas saja stop,positif,0.0017000000000000348,1
1046,zlfkrralf,otw jual lato lato,lagi di jalan jual lato lato,negatif,-0.36240000000000006,0
1047,davidwja,kirim ke twitter kak biar di meme,kirim twitter kak meme,positif,0.4588,1
1049,existsm.226,Auhh cakarr. Ga terima aku diginiin,auhh cakarr terima diginiin,negatif,-0.15360000000000007,0
1052,obscugrapher,yaelah padahal lagi pengen thrifting kaos partai,yaelah ingin thrifting kaos partai,negatif,-0.7184,0
1053,fadhel.afif,celana bekas berak di beli,celana bekas berak beli,negatif,-0.09230000000000005,0
1054,denndennnn___,kebutuhan pangan aja masih import pakde piyo toh iki??,butuh pangan import pakde piyo ini,negatif,-0.3318,0
1055,farhan.alii_,"Ya gimana lagi pak, orang udah nyaman sama thrifting 😞",bagaimana orang sudah nyaman thrifting,positif,0.4162,1
1056,tokoklontong123,Silahkan kak,silah kak,positif,0.6124,1
1057,toastedbreaed,bang ak ga mau beli baju overpriced,bang saya beli baju overpriced,negatif,-0.12179999999999991,0
1058,wrap_protection_film,Situs slot meraja lelah yang perlu di urus kapan bisa maju rakyat Indonesia kalau di biarkan,situs slot raja lelah urus maju rakyat indonesia biar,negatif,-0.04959999999999998,0
1060,fryrgil_,Duh pak,duh,negatif,-0.7184,0
1061,muningrahmat,"Hoodie thrift nya kaka, silahkan",hoodie thrift kaka silah,positif,0.6124,1
1062,lukmannnnul,gamau pake baju samaan pak😢,tidak mau pakai baju sama,positif,0.09230000000000005,1
1064,vreyhn,bombe padamkan api je ke,bombe padam api je,positif,0.25960000000000005,1
1065,kritzstore,cuak,cuak,negatif,-0.7184,0
1067,anggiepanduwinata.sy,"Tapi bagus juga nyaman murah , dan tetap bisa gonta ganti pakaian, kalo melestarikan budaya dalam negri , beli dasar nya udah mahal , upah kang jait dah lebih mahal , 1 baju batik aja bisa ngabisinin modal 500 ribu , belum kalo 1 baju tenun , 😢jebol kantong Mak emak harga cabe minyak dll naik , belum beli lipstik make up ,",bagus nyaman murah gonta ganti pakai lestari budaya negeri beli dasar sudah mahal upah kang jait sudah mahal baju batik ngabisinin modal ribu baju tenun jebol kantong mak emak harga cabai minyak dan lain beli lipstik pakai up,positif,0.0039000000000000146,1
1069,asfpictures_,Solusinya turunin harga barang dan pangan😂,solusi turunin harga barang pangan,positif,0.8402,1
1070,prnm.agung,"Mungkin gua salah, punchline nya adalah mereka, pelaku thrift, pakaiannya aja erigo yg artinya baruuu. Tapi gua liatnya sesekali sih kwkwkw✌️",saya salah punchline laku thrift pakai erigo baruu saya lihat kwkwkw,negatif,-0.32009999999999994,0
1071,_sella.s,"pak, ak miskin. beli brand lokal kudu pake paylater 3bulan 🙏",saya miskin beli brand lokal kudu pakai paylater,negatif,-0.48440000000000005,0
1072,titaniaayy,Jadi solusinya apa dong? Wkwk,solusi wkwk,positif,0.6124,1
1073,anggerpro,aku tetep dodolan hasil seko pasar ❤️,tetap dodol hasil seko pasar,positif,0.2277999999999999,1
1074,avandimorning,ga setujunya di barang fakenya aja sisanya🔥,tuju barang fakenya sisa,negatif,-0.28769999999999996,0
1075,matamatama_,"Produk indo di dorong biar bisa ekspor, malah barang bekas di impor. Saya sebagai warga ekonomi biasa biasa aja, sadar diri sih mending pilih produk lokal original 😄😄",produk indonesia dorong ekspor barang bekas impor warga ekonomi sadar mending pilih produk lokal original,positif,0.04520000000000002,1
1076,arrafiyyy,kalo impor beras gimana? gak merusak beras lokal?,impor beras bagaimana rusak beras lokal,negatif,-0.10599999999999998,0
1078,callmeedss,"Dengki kali, kapan lagi dapat celana 70 3 pasang",dengki kali celana pasang,negatif,-0.07219999999999993,0
1079,gwenxyc,Bener anjir. Lebih baik support desainer lokal UMKM drpd beli barang bekas luar negeri.,bener anjir support desainer lokal umkm daripada beli barang bekas negeri,positif,0.031299999999999994,1
1080,_whyswl,LINCAH,lincah,positif,0.10599999999999998,1
1081,hifzihafizdpangadeg,Klo gini stone island bakal mahal apa murah ?,begini stone island mahal murah,positif,0.10599999999999998,1
1082,anggadimasprawirya,Maksudnya apa bang messi?,maksud bang messi,positif,0.36240000000000006,1
1083,fahmiisiregar,Tandain ya jgn kasi tripting,tandain kasih tripting,positif,0.20879999999999999,1
1084,wirabarepr,Thriftshop ketar ketir,thriftshop ketar tir,negatif,-0.6124,0
1085,1211jubjub,AYO CINTAI PRODUK LOKAL. contohnya mencintaiku 🙌,ayo cinta produk lokal contoh cinta,positif,0.49960000000000004,1
1086,hamsyah_,"Bisa jamin Industri dalam negeri bikin produk berkualitas dari segi desain, fungsi dan material? Dengan harga terjangkau?. Orang pada beli produk bekas karena kondisinya hampir mendekati barang baru dan harganya murah 😂",jamin industri negeri produk kualitas segi desain fungsi material harga jangkau orang beli produk bekas kondisi dekat barang harga murah,positif,0.008399999999999963,1
1087,dhousewerks,Selama aturannya membolehkan atau belum ada yg mengatur soal import baju bekas yaa susah jg ya pak.. lagipula pengusaha thrift itu bukannya bs di consider UMKM jg ya?? Soal laku ga laku kan itu balik lagi soal selera pasar.. apalagi fashion.. smua orang pny preferensinya masing2..,atur boleh atur import baju bekas yaa susah juga lagipula usaha thrift bisa timbang umkm juga laku laku selera pasar fashion semua orang punya preferensi,positif,0.007199999999999984,1
1088,nor2303soit,Yaudasih pak daripada pengangguran jadi beban keluarga dan negara,yaudasih anggur beban keluarga negara,negatif,-0.23329999999999995,0
1089,rezhagunawan20,"Cabo is my live, 3M : Murah Meriah Mantap !!!🔥",cabo is my live murah riah mantap,positif,0.505,1
1090,ibingss,JIKA MASI LAYAK APA SALAHNYA KITA GUNAKAN??,masih layak salah,negatif,-0.3061999999999999,0
1091,hans.real26,Harus lestarikan brand lokal dong broo👏👏👏,lestari brand lokal broo,positif,0.7184,1
1092,nanda_syawaa,Owhhh berarti pasar senen juga harus di tutup juga  yaa ??,owhh pasar senin tutup yaa,negatif,-0.4588,0
1093,_chandrap303,"gamau komentar ah, males...mending urusin aja tuh orang orang pajak sama cukai, jangan ngurusin thrift thrift kaya gini",tidak mau komentar ah malas mending urusin orang orang pajak cukai urus thrift thrift kaya begini,negatif,-0.06130000000000002,0
1094,f_ictionism,"No comment, sih. Pasti ada pihak yang dirugikan mau pake solusi manapun juga.",nomor komen rugi pakai solusi mana,negatif,-0.17819999999999991,0
1095,hendyyyyy__,Besok pakaian gue gak ada monza lagi dong😮,besok pakai saya monza,negatif,-0.6124,0
1097,made_widnyana1,"Meskipun gue sering bgt dikomentarin “Wid kok bajunya itu-itu aja”, gue ga masalah. Krn gue pake baju tujuannya bukan buat ngikutin trend 😝",saya banget dikomentarin wid baju saya saya pakai baju tuju ikut trend,negatif,-0.07179999999999997,0
1098,haaannn_46,"Tapi UMR di daerah banyak yg rendah lur, mau beli baju lokal yg murah juga ga lama Uda pada minus turun warna, bahkan sobek lur dan ujung ujungnya harus beli lagi lur, kalo mau beli yg kualitas bagus harganya mahal lur sedangkan pendapatan banyak yg pas pas an lur buat hidup di Indonesia tercinta ini. Banyak nah baju dirumah ku lur yg Uda pada minuslur karena beli yg murah agak mikir beli yg mahal.  Nah akhirnya kan banyak lur orang orang yg nyari baju murah dengan daya tahan banting lvl 99 ngethirft lah jadinya.  Tapi sebenernya ya lur menurut saya ya lur , thirft ini mah bisa jadi pemacu industri lokal pride  untuk ngikutin alur fashion yg lagi hype lur , contoh lagi naik ni jaket gelembung akhirnya industri lokal ikut untuk meramaikan dan pada laku lur, ada lagi gropcore mendaki krikil coffe shop yg kemudian industri lokal ikut meramaikan banyak lah ya yg bisa industri lokal ini kembangin sejak ada thirft , karena kalo ga gitu bakal gitu gitu aja trennya kaos, sweater Hoodie sampe mampus",umr daerah rendah lur beli baju lokal murah sudah minus turun warna sobek lur ujung ujung beli lur beli kualitas bagus harga mahal lur dapat pas pas an lur hidup indonesia cinta baju rumah ku lur sudah minuslur beli murah berfikir beli mahal lur orang orang nyari baju murah daya tahan banting lvl ngethirft sebenernya lur lur thirft mah pacu industri lokal pride ikut alur fashion hype lur contoh ni jaket gelembung industri lokal ramai laku lur gropcore daki krikil coffe shop industri lokal ramai industri lokal kembangin thirft begitu begitu begitu tren kaos sweater hoodie sampai mampus,negatif,-0.0007999999999999119,0
1099,syafiilanamm,Kabeh kabeh raolehhh,semua semua raolehh,negatif,-0.8402,0
1100,zaw_skin,Baju band suka kena tilang,baju band suka kena tilang,positif,0.07219999999999993,1
1101,sharlyshaputra,Beli di sini aja @lacossplay,beli,negatif,-0.15360000000000007,0
1102,mhmmdalvin28_,"Gw tau mainan lu yng mshl""",saya main kamu yang mshl,negatif,-0.4737,0
1103,aldikurniawan910,Gua sh thrifting ok lokal oke 😂 soalny klo yng luar baru blum ikhlas gtu belinya 😂 aerostreet ok loh erigo juga best,saya sh thrifting ok lokal oke soalny yang belum ikhlas begitu beli aerostreet ok erigo best,positif,0.028699999999999948,1
1104,muhyfauzy_,Krisis p*jak chuak,krisis jak chuak,negatif,-0.7184,0
1105,matchafrappe07,Dipasar senen ga ada yg muat thrift2 kek gw badan besar😂,pasar senin muat thrift seperti saya badan,negatif,-0.875,0
1106,alila.official16,mending belanja di kita aja kaka harga murah kualitas juga okee lohh 😍❤️,mending belanja kaka harga murah kualitas okee lohh,positif,0.06369999999999998,1
1107,abramsmithsurbakti,Yang lokal mahal pak. Ga dapat itu 100k 3 baju wkwkwkw,lokal mahal baju wkwkwkw,positif,0.6124,1
1109,sulton_nh,awokwok pisan,awokwok sekali,negatif,-0.25,0
1110,melsyamz,korupsi tuh mengganggu.,korupsi ganggu,negatif,-0.9001,0
1111,juandaadhenp,Ta.. ta..taapi kan masyarakat konoha lebih suka mengkonsumsi hal hal sampah pak 🗿,ta ta taapi masyarakat konoha suka konsumsi sampah,negatif,-0.3308,0
1112,virgiawanwilli_,Kaos partai okesi,kaos partai okesi,negatif,-0.7184,0
1113,keziaoverhere,Ni ye yang suka thrifting thrifting pakde aja uda bilang gitu,ni ye suka thrifting thrifting pakde sudah begitu,positif,0.2277999999999999,1
1115,dog_daddy70,"Beli kain lap 20rbu
Beli kaos2 kegedean di seken batam 5rbu",beli kain lap rbu beli kaos terlalu besar bekas batam rbu,negatif,-0.034399999999999986,0
1116,aglcaa__,@nthliax_ bahaya,bahaya,negatif,-0.7906,0
1118,jhonputrautama,saya suka indomie goreng,suka indomie goreng,positif,0.10599999999999998,1
1119,seacxo,"BENERRRRR BANGETTT SUMPAH, APA SALAH NYA SIH MAKE BARANG LOKAL JANGAN MIKIRIN YANG HARUS BRANDEDDDDDDD MULUUUU BUSETDAH APALAGI ANAK JAMAN SKRG SUKA NGE THIRFT² GAJELAS, PADAHAL BAJU LOKAL YANG UNDER 100RB 50RB AN GW LIHAT D SHOOPE BANYAK. GIMANA MAU MAJU COBA? HANYA SEDIKIT YANG MENDUKUNG PRODUK LOKAL",benerr bangett sumpah salah pakai barang lokal pikir brandedd muluu busetdah anak jaman sekarang suka nge thirft tidak jelas baju lokal under rb rb an saya lihat shoope bagaimana maju coba dukung produk lokal,negatif,-0.006299999999999972,0
1120,_rdtyedwn,cintai brand lokal walaupun ga semenarik luar negeri tapi brand lokal tetap berusaha menjadi yang terbaik.,cinta brand lokal tarik negeri brand lokal usaha baik,positif,0.07840000000000003,1
1121,nanndza44,BAPAK TAU NGA??? KABINET ANDA SANGAT AMAT MERESAHKAN. KORUPTOR KO MAKIN SUBHURRRRR PIYEEE???N,nga kabinet resah koruptor ko subhurr piyee,negatif,-0.9001,0
1122,teguhswiguna,"Jangan salah, skrg di US juga lagi ngetrend barang thrift. Mereka mulai mikir, barang masih bagus knp ""dibuang"" ke Indonesia? Akhirnya di sana juga banyak pasar barang bekas. 😂😂",salah sekarang us ngetrend barang thrift berfikir barang bagus kenapa buang indonesia pasar barang bekas,negatif,-0.12360000000000004,0
1124,kecambah29,Bentar lagi jastip juga kena 🙂,bentar jastip kena,negatif,-0.6124,0
1125,juleysucks,"lokal brand emg bagus bagus pak, tapi harga nya sangat waw ya (ga semua si), sementara kalo beli di thrift 100k dapet 3/4 dengan bahan yang bagus dan juga kualitas yang cukup lah",lokal brand emang bagus bagus harga waw beli thrift dapet bahan bagus kualitas,negatif,-0.0026000000000000467,0
1126,subektiamengku,asik,asik,positif,0.7184,1
1127,rickyandikaks,ra melu po? @ab274second,ra ikut po,negatif,-0.6124,0
1128,teguhswiguna,"Gausah banyak diksi Pak, langsung berantas saja. Tapi jangan lupa industri dalam negeri juga kulitasnya ditingkatkan. Sesuaikan dgn harga pasar orang indonesia. Pengusaha jangan cuma bisa ngerengek kalah saing sama pakaian bekas. 😂😂😂",tidak usah diksi langsung berantas lupa industri negeri kulitasnya tingkat sesuai harga pasar orang indonesia usaha ngerengek kalah saing pakai bekas,negatif,-0.01529999999999998,0
1129,unangrushady,SELAMAT ANGKA PENGANGGURAN DI INDONESIA BERTAMBAH 👏,selamat angka anggur indonesia tambah,positif,0.18169999999999997,1
1130,rzqmhmmad29,Yaps setuju sekali,yaps tuju,negatif,-0.10599999999999998,0
1131,muhammad_erpani,"Impor beras ,bawang ,dan pangan lainnya juga sangat meresahkan buat petani kita pak 😂",impor beras bawang pangan resah tani,negatif,-0.7906,0
1132,nova.hadisukma,Obat bool ambeyen pake ape ye?,obat bool ambeyen pakai ape ye,negatif,-0.6124,0
1133,kesumahartonorezky,GOOD,good,positif,0.7906,1
1134,cizikrim,Pengusaha thrift mana suaranyaa :/,usaha thrift suaranyaa,negatif,-0.46840000000000004,0
1135,dmxzz_,Kaos partai nya kaka,kaos partai kaka,negatif,-0.7184,0
1137,fitridiredja,okepak .. besok pake baju banteng deh,okepak besok pakai baju banteng deh,negatif,-0.15360000000000007,0
1138,hellofandrip,Kalau bahan pangann gimana pakkk?,bahan pangann bagaimana pakk,negatif,-0.6124,0
1139,_jullansky,"Paling bener pake kaos daia, kalo ngga ya hadiah semen bima",bener pakai kaos daia tidak hadiah semen bima,negatif,-0.08340000000000003,0
1140,tya.amalia_,Oh oke pak *lanjut nonton live thrifting,oh oke nonton live thrifting,positif,0.7906,1
1141,olivianutrilia,yaah padahal bagus😢,yaah bagus,negatif,-0.25960000000000005,0
