,username,comment
1219,subektiamengku,asik
1220,rickyandikaks,ra melu po? @ab274second
1221,teguhswiguna,"Gausah banyak diksi Pak, langsung berantas saja. Tapi jangan lupa industri dalam negeri juga kulitasnya ditingkatkan. Sesuaikan dgn harga pasar orang indonesia. Pengusaha jangan cuma bisa ngerengek kalah saing sama pakaian bekas. 😂😂😂"
1222,mightyabundantly,🤭
1223,unangrushady,SELAMAT ANGKA PENGANGGURAN DI INDONESIA BERTAMBAH 👏
1224,rzqmhmmad29,Yaps setuju sekali
1225,muhammad_erpani,"Impor beras ,bawang ,dan pangan lainnya juga sangat meresahkan buat petani kita pak 😂"
1226,nova.hadisukma,Obat bool ambeyen pake ape ye?
1227,kesumahartonorezky,GOOD
1228,rully_maskavi,😂
1229,cizikrim,Pengusaha thrift mana suaranyaa :/
1230,dmxzz_,Kaos partai nya kaka
1231,novanaryanto,Benerr pak jokowi i
1232,fitridiredja,okepak .. besok pake baju banteng deh
1233,hellofandrip,Kalau bahan pangann gimana pakkk?
1234,_jullansky,"Paling bener pake kaos daia, kalo ngga ya hadiah semen bima"
1235,tya.amalia_,Oh oke pak *lanjut nonton live thrifting
1236,olivianutrilia,yaah padahal bagus😢
1237,woiiiii722,Rata rata malah brand lokal niru design nya dari impor bekas.kalo lihat brand lokal ga niru rata rata ga nulis kalo itu buatan indo
1238,janissary__,Thrift = Save the earth
1239,arumlestarin,Siap siap
1240,nrlyatea,"Ngasih dampak tanpa solusi 👏👏👏 coba UMKM produk lokalnya di dukung . dikasih subsidi untuk ekspor, dipermudah perizinan, disupport dari segi produksi, disediain tempat, dicari solusi biar harga produk lokal gak mahal  tapi kualitas nya bagus. Btw yang di stop itu bukan pedagangnya tapi Stop tempat keluar masuk tuh barang."
1241,khafidz.id,bulls lokal praid nih lama lama😂
1242,pamansame,@bangkidazhar 😅
1243,dadan_wildansky,Nyimak aja lah biar .. tidak jadi dosa 😂
1244,_xorain.andre5,Karena tak ada pajak
1245,poetrad_,Mangkanya banyakin bagi bagi kaos partainya
1246,farizal_,Hilih
1247,bimdew,TUTUP AJA PAK !!! Setuju!!!
1248,ochnku.png,"kasian anak kos,😂😂"
1249,gilangramadhand,"Jangan” karna mataharoy dept store omsetny turun, makanya melapor pejabat😂"
1250,adislyus,"Support UMKM sih oke"" aja, tapi mahal"" semua rate harga 100k keatas entah produksi apa bsa se mahal gitu, jualan produk apa merk itu UMKM 😂"
1251,frickfrackinghell,aneh.
1252,muhammad_rian_alfatih,Barang lokal harga impor👏
1253,tangan_dosan,"Lokal nya pada bentek semua, gue pake thrift jadi hemat, duit bisa kumpul untuk nikah, PILIHAN HIDUP pak soalnya saya sadar berada di negara MISKIN"
1254,alrizalnp,@ace.wear_id hehe
1255,bdg.ngethrift,HOODIE CREWNECK KAOSNYA KAK SILAKANN🥺
1256,bammsssss,"Udah paling bener pake kaos red bull, tp yg ini bahannya agak tipis dikit, outfit favorit mas mas proyek bangunan"
1257,onixsundionooo,trueeee
1258,ocii_fn,waktu dan tempat di persilahkan untuk memberi tanggapan @zythrift_collection  @yenifransiskaaa
1259,rivalsebastian33,ngetrift ku pie min🥲
1260,m.fendiii,Wawaaaah
1261,pinkgkristaniu,"Ya ,ini tergantu yg beli sih, si pembeli peduli gak sma lingkungan sekitar atau cuman mentingin diri sendri 🙄, peka dg hal"" kek gini nggak. Atau mungkin bisa peka/ peduli jika berdampak ke diri."
1262,sandyrmdhana_,Sumber rejekinya org ituu loh :')
1263,prmno21,Beras masih impor ngga sih..???
1264,irsad_good,Menuju 2024🗿
1265,anaanddaa,"maaf pak, untuk kali ini sy tidak setuju dengan bapak @jokowi 🙏🏼😇"
1266,aldines18,"lokal banyak yang bagus kok… tapi mahal aja, minimal naikin dulu umr lah biar mampu support local brand"
1267,pulanqerja,"Bisnis adalah bisnis, secara realistis bisnis pakaian impor sudah jadi ladang sumber pendapatan banyak orang pak, ditambah lagi kan permintaan pasar akan hal ini tinggi, biasanya kan pemerintah pinter tuh ngebisnisin ladang subur model begian 😁 *fun fact pak: diluar negeri sana, kaos partai anda juga masuk toko thrift (baju second) digantung di jenis baju vintage dan harganya mahal 😄"
1268,fitriadisxryatama,Mana ni para pecinta lelong 🙌
1269,s.1chaa,Lokal brand jarang ada ukuran plus size
1270,hyezrawyntinjak,"Yah ga bermonja lagi kita ini, naik harga @ejfyenty @leovandesmondwijayasitinjak"
1271,muly4.rf,Waduuh..
1272,sneakersland_kdr,Turu ae
1273,mhmd.afrizalll,Barang bekas 100 3 mayan
1274,athayataa_,yang penting branded
1275,_aanggaraaa,"seneng ada thrifting karena ngirit, kualitas pun sebanding dng harga walaupun second"
1276,sigitnuradi,Pemerintah yang korupsi sangat menggangu negara ini
1277,d.trgn,"Maaf banget pak, tapi aku sukanya ngethrift😢😂"
1278,fattahalghfr,Tingkatkan Trifting agar kita menjadi bangsa yang maju! Jaya2x! 🔥
1279,rezaditiyaaa,@ruddylesmana masih nang? Gera duruk bisi ditewak
1280,pepichannn,Judul skripsi judul judul
1281,kepangtut,Waduuh..gawat nih...kemarin aku baru beli. Abis bagus sih bahan kainnya.
1282,hafizhnuradli,UNIQLO 75 terbaik
1283,fathirabbanif,Sampai kapan kemunafikan ini akan di tampilkan pak ?
1284,cah_bagja,Mau lokal pride tapi harga tidak melokal 😢
1285,alwiramadhan,👏
1286,oursave.shoes,Pengen jadi anime aja
1287,ahmadmanyy15,Jnckkk
1288,adityakur_,Padahal brand dalem oke punya
1289,hyiksanutha,@aio_wly ges tong jadi 😂
1290,ulalala_udii,"waw, pernah jdi bahan buat lomba debat sekolah gue nih🔥"
1291,ryanilhamhq,👏👏👏👏👏👏 @jokowi @kemendag @zul.hasan katampi pisan dunungan
1292,ilham_app_,Produk kita jangan mahal2 ya pak
1293,mhmmdnqb_,Size gede dirugikan mulu harganta mahal kali lokal pred
1294,jajanan.mantan1,Yokk di mantannin di mantannin. Support UMKM mantaann yok
1295,putriardanaraaa,@safay0_0 baca komen
1296,aldojuliio,Klo mau di bubarin gapapa asal ada solusi/gantinya krena thrift juga udah mulai jadi bisnis.
1297,adhityameiliala,KALO JUAL BELI MOBIL/MOTOR BEKAS GMN ? GANGGU INDUSTRI GAK ??????
1298,citaazhr,☹️☹️☹️
1299,tisadstynt,Tadina abi bade usaha eta pak jokowi sareng ayang abi 😅
1300,sulthan.almaliqi,hese pak atuh ai kieu mah
1301,abdlhkm06,Masing masing aja sih
1302,aurevnda_,Brand  lokal tp nyontek desain luar cuma dipasangin brand sendiri aja hehehe
1303,cindyauuliia,Lebaran mau pake monja kok
1304,gumtricks,Impor>>
1305,lho_rafli,Mang eakk
1306,erfinsujianto__,"nyesuaiin isi dompet ajalah skrng , nyatanya ngethrif wkk"
1307,siswanto.s.w,@ardi_13s 2024 ganti presiden
1308,achmadyudhopratama,Coba sebutin semua brand indo yg dipake lama masih oke dan keren2 disini.
1309,riangapp,ketar ketir nih
1310,juliantopologi,"Penjual barang thrift kan juga UMKM loh, Paaaaaak. Kok egois gitu sih? Percaya aja setiap produk ada marketnya masing-masing. Kan masih banyak juga anak muda yg jijik pakai barang bekas. Aman."
1311,etheycarolina,tapi rejeki temen2 saya dari sini pak
1312,yeeshaiubaaay444,@muhammadfahmi17_
1313,chiliput,😢😢😢😢😢
1314,thithut.co,Saya setuju dengan pemberhentian impor baju bekas. Tapi saya kurang setuju dengan alasanya mengganggu industri dalam negri. ✊🏻
1315,imamsatrio_,"meresahkan emang😢 masih bingung dan bertanya tanya, baju impor bekas yg jelek jelek dan gak laku itu pada kemana ya? apakah cuman nambah nambahin sampah di Indo? tapi satu sisi juga baju bekas jg ada yang menarik😂"
1316,aman_widagdho,Sendiri baju sendiri deh
1317,senjat_aian_jing,impor pangan nomor satu
1318,cahyaeuis_,Tolong kirim ke sirkel sebelah @yazidbm
1319,imanuelnoviandinata,"@jokowi percayalah, rejeki tidak akan pernah tertukar (gak semua orang mau beli pakaian bekas, dan gak semua mampu beli pakaian baru) Lihat mart2 dikampung mereka juga menghajar toko klontong rakyat kecil."
1320,anang.anggra,Tapi kita beras dan bawang import pak
1321,robyarman,"TANYA YG KASIH IZINNYA JUGA BAPAK KAN PARA MENTRI JUGA ADA ATURANYA KALO GAK MASUK SECARA LEGAL YAH ILEGAL, KAYA BARU JADI PEMIMPIN AJA PADAHAL UDAH 2 PERIODE MASA BARU TAU YG GINIGINI"
1322,admsh._,pie ki @arenza.f
1323,nolltigaa,Trifthing haraganya sekarang udah gak ngotak
1324,awwaaaduaa,pdhl minggu ini akuw maw ke pasar senen ihi
1325,arrizkabasyiir,Lah keluarga bpk aja belinya brand brand luar 😂
1326,kim.ong_,Mengganggu dmna nya ?
1327,secondxya,😢😢😢😢
1328,pagostaxx,Saya mending lokal daripada bermerek tapi second🙏
1329,gipaang,tanpa solusi
1330,this4meow,"yang bekas ngga selamanya merugikan, coba diliat dari sisi lain. yang merasa dirugikan kenapa? sama sama punya hak sih, jadi bentuk menghargainya dengan bebasin aja pilihan masing masing. kita sendiri juga punya alasan buat thrifting, bajunya menarik jarang ada yang sama, liat harganya pun ga bikin melongo. ga semua juga suka thrifting, lainnya banyak juga yang suka beli baru. semoga ada kebijakan yang terbaik bagi kita semua ya"
1331,dwikirengga,Asa sagala ulah cs jok ah
1332,oshintary,lha kok tanya saya
1333,arinbagusf,Yang mengganggu itu yang kor.... @cokipardedebebas terusin
1334,ulaansari__,"tapi baju thrift bagus pak, murah lagi."
1335,bongkarkarung,Dasar tukang makan beras import
1336,adibuncis,Ribet
1337,riofebrianx,turunin harga lokal brand 😂
1338,decky.prismawan,Riweh
1339,im_s1nggih,setuju siih tapi saya juga suka thrifting😂
1340,manusia_sastra,"Ekspor nikel sangat menganggu peradaban suku adat dan hutan adat, chuaks"
1341,b4dtr1p____,TOLOL
1342,jellybox_reeftank,"Level up your busines, jadikan barang thrift sebagai compete, grow with your own way ..."
1343,answer99999xx,"Dih urusin noh yg korupsi, asal main  larang"" aja"
1344,just.hamzah_,Cangkeman pak !
1345,stanic_slaniva,Ya uang negara banyak malah di korupsi. Ujung2 nya nyalahin orang yg usaha
1346,jellybox_reeftank,"Level up your busines, jadikan barang thrift sebagai compete, grow with your own way ..."
1347,the.upid,❤️
1348,dirtyfine33_,lak nyari jaket hoodie keren disini
1349,denyakbarr_,all about dirty bro
1350,aryabrata_,pimplan nih si pakde
1351,mariefanugrah,Shappp
1352,ferrdyy18,#supportbrandlokal
1353,waffastore.id,🔥
1354,rizyudityas,"Ngurus beras aja belum bener, ngurusin pakaian"
1355,anna_kartika,Duh gimana ya? Saya pecinta thrift
1356,gas19kg,@gunturrfi gabole cnah gun😂
1357,masby97_,Cari tau dulu akar nya pak sapa yang ngelolosin barang luar ke indo
1358,fthnalia,Bikin penyakit kulit juga ih😂
1359,bullllllll__,Inpo Hoodie cakar sejuta umat @nrmujahidin 😂
1360,beriziyo,Yap
1361,nitaa_jpg297,"mau beli baju lokal, tapi takut banyak yg kembar 😢"
1362,rezakodir,Koruptor jauh lebih ngerusak pak..
1363,rivaldook,impor beras juga sangat mengganggu hehe
1364,maulanamingga,mainnya hebat!
1365,dassom_24,"Trus brand2 luar yg dtg buka store di indo apa ga mengganggu brand lokal? Harusnya itu yg disinggung, klo pakaian bekas mah udah beda market. Bilang aja karna pajak pak 😑"
1366,lintdgrn,bang udah bang
1367,alfipratama,"Tapi harga barang baru juga menggangu perekonomian warga, gimana dong?"
1368,_mrbeamm,Hmm masih speechless ama harga barang lokal
1369,eckyalimansyah,Ini biar bisa masuk cukai dan memperkaya pejabat di atas sana gais. Jangan terdistrak 👏
1370,adib_syarofudin,@goffaryzm 😂😂
1371,edpambudi,"Asli, tolong lah…"
1372,zulhsb1,terus impor bisnis Sembako tidak menggangu gitu?
1373,mailanifitri,Yang jualan mata minus juga meresahkan pak
1374,irfanfaisal,Bacot anjir.
1375,resha_gfrly,"Beli baju 13 pcs planel kotak"" kayaknya lebih bagus"
1376,kelvin.manopo,Koruptor tuh lebih merugikan negara urusin dulu
1377,whichgooglemeansraomy,Hadehhh pak-pak
1378,rafli_manan,"Barang2 luar itu kualitas premium, walaupun bekas tp ngk jelek2 amat, harus brand di indo harus tertampar dgn informasi ini krna saking banyak nya yg thrifting krna brand2 di indo ngk mau update kualitas"
1379,bobbysyahputraa23,TERSERAH👏
1380,fidya_yuanda,Lah tapi murah pak
1381,_agunggggg,Gapapaa bekas ge asal gapake baju beruang petir aja.
1382,heavenwithusss,Support lokal👏
1383,ardinosppp,mmx
1384,al_farid_nabil,rasaki alah ado surang surang pak 🙏🏻🙏🏻 @jokowi
1385,asamymussa,Saya pedagang lohh pak😅
1386,magda_lena290,Masalhanya baju bekas harga kaki 5 kualitas bintang 5😂 walaupun mereka tau itu bkn baru
1387,ipulpulangmagrib,produk dalam negeri aja masih banyak yang di KW in
1388,chesaherdnsy,@mumun_garneta ini pak Jokowi orang nya yg sering impor
1389,adinugsss,KALO JUAL PULAU TIDAK MERUGIKAN NEGERI YA PAK? 😬
1390,mhmdrgibb,Termasuk mobil sama motor juga kan?
1391,dickardnsyh,🙌
1392,roybinasbun,"oi pak,gak kasian lu sama org org yg jd nganggur gara lu pak? kadang nthlah pak,coba bpk di posisi mereka pak"
1393,ossy_rossy,"Tapi Zara , HnM, Pull n Bear , Max Fashion meraja lela banget pak , kan dari luar semua itu , bukan dari majalengka 😢"
1394,wiraditamanf,Kocak ( k0nt0l cicak )
1395,your___head__,sotoy
1396,andri_thozen,Baa woi @ramadhan98761
1397,frhnasd,"Abis gimana ya pak, murah kualitas bagus"
1398,ru_stwn,"Brand lokal bagus² loh, liat aja foto profil gue, itu brand lokal semua 😁"
1399,andrahadid,trus gwe harus berhenti ngethirft di @hotarutoko gt 😔😔
1400,putrykurniia,"Setuju sih support produk lokal, support umkm"
1401,kurir_jalan,Rezeki udah ada yang ngatur jadi jangan di persamalahkan soal baju bekas
1402,_febrifeb,"Brand  lokal harga selangit,masih mending jastip bangkok  kualitas bagus harganya gak jauh beda,apalagi yg bahan knit sampe  pengen ngeborong semua.di bangkoknya bahkan lebih murah"
1403,bxt.goodsmarket,*emotapi
1404,anggaihzani,Beras impor
1405,azraaiboo,bgusan bju org tua dluu ga si
1406,riyanalfandi__,"Auu ah bingung mending beli sembako murah terus kita ekspor ke luar negri naikin harganya aja, kan lumayan cuan 🗿"
1407,adesulistiyo,"Yang jualan baju dalam negeri, beli baju nya di pj😂"
1408,suduanghitam,"Indonesia sawah terluas tapi import beras , Indonesia negara maritim tapi import garam . tapi baju import dipermasalahin , wkwk Chuaakzzz"
1409,rojelagii,cintai produk Erigo 😂
1410,iyanpride,pake jersey ucup aja lah skrg
1411,inversee.id,"Bae weh kurut ge atu, da meli teu menta ieh 🤣"
1412,andwidy,Pak kalo saya thriftnya kaos PDI masa gaboleh juga?
1413,johanes_fk99,Kami tidak mempermasalahkan lokal atau impor pak. Kami cuma cari yg murah sesuai sama isi dompet kami.
1414,p.riansyah22,Terserah lu jok cepet kelar masa jabatan lu dah
1415,tbazriel_,100k/3 pcs @dreyystorebogor
1416,dzn.sddq,Yang merugikan rakyat mario pa sama bapakny org pajak gak mau pajak 😂
1417,qndhika,masa mao pake beruang petir satu negara
1418,varrzzx,bener nih🔥
1419,alipashafh,Yang merugikan bukannya barang² kw.
1420,masdit14,Baju gabolee impor tapi beras masih impor. Chuaks
1421,new.trashsure,"Yahh pak, baru juga mau mulai, belum up produk udh di ulti aja, tp aku tim ngueyel sih, pokoknya cuan, kan biar bisa bayar pajak, ya wlopun pajaknya dipake beli rubicon 🤓"
1422,revan.zaa100,Silakan dibahas @revan.zaa1001
1423,haefuul,hayu ah ke pasar cimol
1424,irhrzky,"Kenapa sih orng bergaya dengan kemampuan masing masing , ada yang bisa beli brand local beli klo engga ya ada yg mau kualitas bagus harga murah. Yaudh sih lagian brand local udah harga mahal di pake ga nyaman thrift klo bisa bikin pede kenapa harus mahal ga nyaman :("
1425,royyan.ne,"-,-"
1426,magefiiir_,"Monmaap pak, tapi ituji yg outfit elit hrga merakyat"
1427,molppet,kalo sepatu?
1428,naufalkhashif,Otw beli baju petir
1429,prithy_c,betul pak
1430,nadanisak_,"Kita cm beli produk yg di pasarkan wni pak, emngnya yg masukin di indo syapa si ?"
1431,pecandu.u,@urbanthrift.tng lagi ada promo sampe lebaran loh 🔥
1432,___ca.nh,Baru juga mau buka usaha uda gini aj
1433,nauflrizkyy,weh weh wehhhh mengganggu apanya wehhh
1434,shofwanqolbi,konoha kocag lokal aja di kawein 😂
1435,babayaga.gox,artinya apa ngab owiii???
1436,_yzzboy13,"Hadeh, ngga tau aja banyak pengangguran yg ketolong dari usaha itu"
1437,fachryalhbsy,makin kesini hak asasi manusia lebih di pertimbangkan...
1438,byjsccc,impor garam dan beras juga sangat mengganggu industri dalam negeri pak😢
1439,komskyi,@ardianmln baru juga ngobroll mingdep otw senen wkwkkw
1440,partosoto,Kaos partai gratis
1441,nofl4_,Ya maap pak  hehehehe
1442,a.made.a,Nah... 🙌🙌
1443,vanssea__,:'(
1444,fadli_akbrr,gpp baju ku bekas yg penting tidak kaos beruang 3 100
1445,nyoorz_,Ini dy pak @arey_ebeck 😂
1446,yaberto99,@litasm28 lagian produksi dalam negeri malam diimpor ke luar ngeri kan😂
1447,fickymuhammad_,Waduh waduhh
1448,aldyfhrzi_,Tetap cinta thrift❤️❤️
1449,goodmorningsal,GORENGKE NDOG😢
1450,zklfthnnn,udah betul pake beruang petir aja
1451,punk.not.diet,Alasan beli baju bekas adalah branded.
1452,rajaoutfit26,Umkm nya pada produksi barang KW
1453,temdeden,Thrifting sasarannya biasanya ekonomi bawah ke paling bawah. Brand lokal dilihat dr harga kebanyakan menengah ke atas. Seharusnya ga bentrokan dipasaran. 🌬️🌀🌪️
1454,azmoena,#localpride
1455,rohman_mnr,"Ngapain ngurusin yang beginian kn tugasnya presiden mah adil, kesian dong yang usahanya jualan baju thrif demi sesuap nasi kalo ditutup pdhal kan modal duitnya bukan hasil dri pemerintah misalnya sebagian yang nyari modal sebagai kerja diluar negeri gimana?"
1456,genbibaruna,"Wah pdaha sudah bnyak pembisnis pakaian import , sudah bisa membantu pemuda indonesia mendapatkan kerja"
1457,rizkii.frds,#lokaltakgentar
1458,iraarfinaaa_,"Nanti banyak yang nganggur lagi lho pak, dahal peluang usaha lumayan dari situ."
1459,auliadiana20,Indeed pak..😢
1460,ourshoppingcatalogue,Padahal thriftshop adalah solusi cari baju tapi kantong bokek
1461,ranto.am,kalo import beras gak ganggu ya ?
1462,aldiyhsb_,telat
1463,solaciaga,Dua tiga tutup botol
1464,ayah_penuh_cinta,Memangnya bapak sudah siapkan lapangan pekerjaan untuk mereka pengais rezeky dibisnis thrift ?
1465,dindasjtk,Kek mana laah barang monza beli 100 dapat banyak pak
1466,baimiese,solusi nya apa pakde?
1467,raynaldiharwan,😢😢😢
1468,ariagaluharandaka,"Local kebanyakan mahal doang,tp kualitas gabisa terjamin"
1469,seinhabil,"MAKANAN IMPORT JUGA MENGGANGGU PAK, KASIAN MAKANAN LOKAL KALAH SAING @jokowi"
1470,malikmaullana__,"Coba beras juga jangan impor, hargai petani lokal"
1471,tbhdi_,Beras masih impor bro
1472,raisatrk,Brrti bisnis pakaian bekas dalam negeri potensial ya pak? At least kan ga impor.
1473,fitriiariyanti,kulo ki komentar jowo sing sampean golet
1474,dimassnap,"dengan harga yang sama, beli thrift kadang lebih dapet kualitasnya daripada beli baru brand lokal"
1475,0008ur,uuuu ah juea
1476,rizalputrapermana_,Harga produk lokal mahal
1477,aldisetiadii_,betul meresahkan
1478,rzky.brr,Mending baju polos lebih asik🤪
1479,riko_adiw,@bagoezhabieb ya gimana ya pak😂
1480,caalllll_,emg pling bnr mke kaos partai
1481,fadlirahardiann,Pakaian dalam negri di pake nya aratel pak gimana dongg
1482,mhmmdvrdyansyah,"setuju, local pride umkm pride✨"
1483,barseduh.kopi,Coba deh mikir kita beli prodak  Indonesia sama aja kita membantu memberikan banyak lapangan pekerjaan buat semua orang industri di Indonesia jadi angka pengangguran semakin menurun kalo kita semakin membeli barang luar negeri industri Indonesia semakin menurun angka otomatis pengangguran juga tinggi.
1484,lindanelistya,@marcoyodika
1485,nurlianindi,kaos partai lah yang lebih nyaman 😂
1486,sapakks,"solusinya adalah, make baju sodara 😭"
1487,adeliaanjaniiii,@dalilahhlza dal usaha kita kan itu
1488,gissalp_,Kritikkkk saran dan SOLUSI 🙌
1489,chandragid,"Lagian pakaian bekas aja minat, alasan harga dsb... mau sebagus apapun tetep aja bekas, bisa jadi sarang penyakit.. hiiiiii"
1490,dedenbuddyman,bukan thrifting nya yang salah tapi daya beli masyarkat untuk lokal brand new shirt saja yang sedang turun karena perekonomian yang sedang tidak menentu
1491,normaneraga,"So, harus bayar pajak dulu baru boleh?"
1492,cats_kediri_official,Mampir ah siapa tau nanti ramai pembeli🤭
1493,aqmalll.p,um😢
1494,qirifqii_,Kaos 50k dapet 3 yang di dapat mamah dari pasar enjoyer😎
1495,larokannda__,Setujusih
1496,wave.zeroo,"kaos fake dari luar, msih malang melintang di toko oren pak😍😍"
1497,ehrealita,"Perbandingannya banter banget saya pernah beli thrif 30an, persis banget kaya baju brand lokal yang harganya 399 😢"
1498,ha.kamitsu,ada pasarnya masing masing lah
1499,apri.nugroho,Poinnya konsumen cari yg murah.
1500,wave.zeroo,🤔🤔🤔
1501,adamnn35,Marah marah aja
1502,vinsensiustrg,hh
1503,dinioktaav,@noviselvia95 wkwk
1504,jenjrirmdhn13,info tenonet goretex summit series
1505,rindhonisoekamti,"ya gimana ya. support brand lokal tapi produksi di bikin limited, habis itu harga makin ga ngotak😂😂"
1506,abdulhalim1801,Saatnya #supportumkm
1507,ahmad18faiz,@rosid.mn mumpung ada😂
1508,hizbim_,Betul pakkk 😢
1509,randiantariksa,"Tolong pang jangan mengalihi usaha rakyat
Berataan beisi pasarnya masing2 pa
Umkm lokal ada pasarnya, barang second2 luar ada pasarnya. Jadi sudah beda pasar.
Tolong banar nah."
1510,ddeii__,Cuaks
1511,fpresc,orang indo doan murce pak apalagi baju thrifing lebih murce. brand local juga harganya masih agak mahal😍
1512,odyor_,Kali ini gua setuju
1513,anisamuzdhalifa,"Tp masih banyak yang belanja barang dari luar negri yg lebih mahal, bahkan anak buah bapak sendiri kayanya. Coba dikasih tau dulu itu anak”nya.. cubit dikit"
1514,dessyintansariii,Percuma dalam negeri kalo harganya kaya luar negeri tapi kualitas kaya harga 100 dapet 3
1515,dryani22,"Balikin aja, udah deh beli baju diskonan di mall gpp asal jgn barbek. Lo kalo berobat ke dokter kulit ga cukup 5jt bolak balik 😢"
1516,mcadream_,@syahrulrfh
1517,suuw.ekk,Mahal pakde lokalan
1518,ihsnrhmdn,lokal brand mahal
1519,rzqipesik,HIA HIA HIA
1520,hilalaidar,WADUH
1521,justchilout,lebih mengganggu lagi bawahan bapak yg pada memperkaya diri
1522,faiznm_09,"sebenernya baju bekas dari luar negeri itu udah dikumpulin jadi limbah buat di daur ulang gimana ceritanya bisa masuk ke indo trus di hargain dan dijual dipasar loak wkwk, udah masuknya ilegal, alesan ngurangin sampah fast fashion lah, itu kan mau di daur ulang malah di pungut😂😂"
1523,arifinmhd24,Mau nya pada trend baju blackpink pak wkwk
1524,angga_arrenja,kualitas dalam negeri yg dibenerin harga harusnya bisa lebih murah jugak jadi tebelik itu produk2 lokal
1525,vennylisyas,"Merugikan UMKM, yang merugikan rakyat Indonesia gamau diperiksa pak asetnya?😂"
1526,liloklili,zixixixixixixixi 😏😏😏😏
1527,takuyung_rental_outdoor,"Padahal produk lokal skrng udah murah2, kaos kebanyakan dibawah 100k, pas tahun 2014 perasaan rata2 masih di atas 100k semua, saya inget bgt beli kaos2 masih harga 120an sampe 150an, tpi kok bnyak yg bilang lokal mahal ya??"
1528,m.zufarazzaky,@prdszz aku cinta produk lokal
1529,renaldyandr,atur wi
1530,manslycond_kmg,boleh kak di cek cek dulu
1531,agungcrzr_,100 dapat 4 🙃🙃🙃
1532,fuckjrul12,Make baju diatur
1533,valotitaley__,bct
1534,jim.sihombing,"Thololll. Mending subsidi motor listrik dialokasikan buat beli baju buat rakyat. Rakyat ga butuh motor listrik, tapi negara hambur2kan duit demi memperkaya sekelompok elit."
1535,didi_demajesty,"Asli sedih banget. Padahal sama2 nyari sesuap nasi. Klo logikanya karena ganggu umkm, kenapa pasar swayalan dan minimarket ga dilarang juga? Kan ganggu pasar tradisional dan warung kelontong 😔"
1536,ydhip_,mau beli baju partai
1537,ahmdthoriqqq,Mang ngapa si
1538,kymprout.shop_tlg,Stok Hoodie baru dateng ni kak silahkann 😂😚🤪
1539,tanyadaii,@piwdiwpay__ eh eh eh ada yang aneh
1540,sesabrazy,@raynuits nyokap siapa tuch HAHA
1541,donskuyy__,kita mah kaum mendang mending pak🤙🏼
1542,zebyevault,they got me dripped out tho 🤞😢
1543,galangfeldmanak,"Sebenar nya ini perihal idealisme sih,u belum bisa beli @stussy u masih bisa beli @screamous_55 yg penting kan original,yuk check ig nya scremouas lagi disc"
1544,rian.3ka,Mau aja pake pakai bekas 😂😂
1545,fahrykhusairyy,"Sulit dimengerti,semoga jodohmu pake kaos beruang petir"
1546,yo_piyeneh,"bisnis thrift hasilnya recehan pak, beda dengan yg UMKM yg modalnya ratusan juta hadeh katanya suruh ekonomi kreatif"
1547,wisnuyk,jok jok aya deui wae
1548,rexyhm_,"Gak habis fikri ,gak masuk diakmal ,semoga ibumu ibuku menjadi pesan"
1549,xtinejesica,murah pak
1550,ilham_xcvii,Valid
1551,achmadfajar93,Lah kocak namanya juga persaingan usaha
1552,ssalsau,@bonniebelllll jangan sampe cok
1553,joey_artwork,"Ya pak, bahan bakunya murahin donk. Kita pelaku industri clothing lokal pusing nih bahan cotton combed naik terus tiap bulan sejak covid. Sampe bingung mau pasang harga berapa. Cotton combed naik terus, tapi customer ogah kalo harus bayar mahal"
1554,ahmasfaizz,@yvngcheesebag ingfokan ngetrif leptop
1555,rriskypratamaaa,Yg lokal mah item pak
1556,ejaun_,"S&k ""Barang dari cina pak"""
1557,de.aridmk,"Yg diusut mafianya dong… kalok bisa dipajakin, selama ini bal yg masuk itu kan ilegal. Kalok menurut saya usut mafianya kalok berani, kok bisa sebebas itu masuk bal dari luar.. bisnia thrifting itu sudah dari kapan taun ga bakal bisa ditutup gitu aja, cari mafianya dulu, cari akarnya, yg pedagang thrift juga dapet sedikit dari kerja mereka. Tolong lah.. mending cari mafia yg dibawahnya aja dulu, bajakin bal yg masuk, kan sama” enak"
1558,papahricky,Apa dayaku pake baju bekas kakaku
1559,salsha.adf,Ngomong aja lu:v beliin kaga:v
1560,alfansyukron_,@iarx.are ngethrift ng bazar KKN ae lek unu
1561,bonniebelllll,@ssalsau ngeri barang pada jelek😓
1562,rahmatgaligo,cintai produk lokal contoh nya kek saya orang lokal🙊
1563,nichoap_,"jangan bilang bekas pak, kasian manusia pemuja thrift pak. cuakss"
1564,bayuekowb,"Perlu disadari, trift memiliki kualitas kain yg bagus dibandingkan dengan lokal dengan harga sama namun kualitasnya sangat jauh dibawah ekpektasi"
1565,alfinrhlz,trs solusinya apa pakk?
1566,sktimlna_,"Yang mau jadi reseller Monggo, ladang 10 hektar yang di Aceh mau panen..salam UMKM & suport  lokal.🌱"
1567,callmeerey,mang ea?
1568,hudagaga10,"Bisanya cuma ngeblokir tapi ga bisa kasih solusi barang murah, bagus dan berkualitas. Kantong orang2 juga semua bukan kelas pekerja yang punya gaji tetap per bulan. Dihhh"
1569,nichoap_,lusuh
1570,ssalsau,@bonniebelllll iya ajg jangan dulu ke pls
1571,rvlrzqlh,Lebih mengganggu yang jual fake fake tu pak
