,username,comment,clean_data,case_folding,tokenize,stopwords,normalization,stemming
2044,vickyyahardiansyah,@mhmddrckyy ndak mampu beli baru soale😢,ndak mampu beli baru soale,ndak mampu beli baru soale,"['ndak', 'mampu', 'beli', 'baru', 'soale']",ndak beli soale,tidak beli soale,tidak beli soale
2045,muhammadirwan9167,SEKALI KALI EXPORT DONG JNGN IMPOR TRUS😭,SEKALI KALI EXPO DONG JNGN IMPOR TRUS,sekali kali expo dong jngn impor trus,"['sekali', 'kali', 'expo', 'dong', 'jngn', 'impor', 'trus']",kali expo jngn impor trus,kali expo jngn impor terus,kali expo jngn impor terus
2047,mrniel_caf,"Bukannya bagus ya pakai bahan bekas, membantu lingkungan, sehingga barang baru yang dibuat lebih berkurang (reduce, reuse, recycle)",Bukannya bagus ya pakai bahan bekas  membantu lingkungan  sehingga barang baru yang dibuat lebih berkurang  reduce  reuse  recycle,bukannya bagus ya pakai bahan bekas  membantu lingkungan  sehingga barang baru yang dibuat lebih berkurang  reduce  reuse  recycle,"['bukannya', 'bagus', 'ya', 'pakai', 'bahan', 'bekas', 'membantu', 'lingkungan', 'sehingga', 'barang', 'baru', 'yang', 'dibuat', 'lebih', 'berkurang', 'reduce', 'reuse', 'recycle']",bagus pakai bahan bekas membantu lingkungan barang berkurang reduce reuse recycle,bagus pakai bahan bekas membantu lingkungan barang berkurang reduce reuse recycle,bagus pakai bahan bekas bantu lingkung barang kurang reduce reuse recycle
2048,putraabitama,sesuai selera masing masing 🙌,sesuai selera masing masing,sesuai selera masing masing,"['sesuai', 'selera', 'masing', 'masing']",sesuai selera,sesuai selera,sesuai selera
2049,y_dh4,Sepatu 50 rbu @jhopypandu19_,Sepatu rbu,sepatu rbu,"['sepatu', 'rbu']",sepatu rbu,sepatu rbu,sepatu rbu
2050,nurasitah,"Nanti kebanyakan pakaian dibilang merusak lingkungan, limbah pakaian dll. Banyak juga orang yg bergantung dari bisnis pakaian ini 🥲",Nanti kebanyakan pakaian dibilang merusak lingkungan  limbah pakaian dll  Banyak juga orang yg bergantung dari bisnis pakaian ini,nanti kebanyakan pakaian dibilang merusak lingkungan  limbah pakaian dll  banyak juga orang yg bergantung dari bisnis pakaian ini,"['nanti', 'kebanyakan', 'pakaian', 'dibilang', 'merusak', 'lingkungan', 'limbah', 'pakaian', 'dll', 'banyak', 'juga', 'orang', 'yg', 'bergantung', 'dari', 'bisnis', 'pakaian', 'ini']",kebanyakan pakaian dibilang merusak lingkungan limbah pakaian dll orang bergantung bisnis pakaian,kebanyakan pakaian dibilang merusak lingkungan limbah pakaian dan lain-lain orang bergantung bisnis pakaian,banyak pakai bilang rusak lingkung limbah pakai dan lain orang gantung bisnis pakai
2051,yourdailysins_,"KAOS OPERSESNYA GAES. GAMBAR BERUANG PETIR SILAHKAN. Operses operses tai , pas gue pake kaya croptop.",KAOS OPERSESNYA GAES  GAMBAR BERUANG PETIR SILAHKAN  Operses operses tai  pas gue pake kaya croptop,kaos opersesnya gaes  gambar beruang petir silahkan  operses operses tai  pas gue pake kaya croptop,"['kaos', 'opersesnya', 'gaes', 'gambar', 'beruang', 'petir', 'silahkan', 'operses', 'operses', 'tai', 'pas', 'gue', 'pake', 'kaya', 'croptop']",kaos opersesnya gaes gambar beruang petir silahkan operses operses tai pas gue pake kaya croptop,kaos opersesnya gaes gambar beruang petir silahkan operses operses tai pas saya pakai kaya croptop,kaos opersesnya gaes gambar beruang petir silah operses operses tai pas saya pakai kaya croptop
2052,in.duarr__,yaa gmna yaa barang lokal cenderung mahal pakk dan belum tentu bagus modelnya.. kalo thrift kan murah modelnya pun ga pasaran gtuloh,yaa gmna yaa barang lokal cenderung mahal pakk dan belum tentu bagus modelnya  kalo thrift kan murah modelnya pun ga pasaran gtuloh,yaa gmna yaa barang lokal cenderung mahal pakk dan belum tentu bagus modelnya  kalo thrift kan murah modelnya pun ga pasaran gtuloh,"['yaa', 'gmna', 'yaa', 'barang', 'lokal', 'cenderung', 'mahal', 'pakk', 'dan', 'belum', 'tentu', 'bagus', 'modelnya', 'kalo', 'thrift', 'kan', 'murah', 'modelnya', 'pun', 'ga', 'pasaran', 'gtuloh']",yaa gmna yaa barang lokal cenderung mahal pakk bagus modelnya thrift murah modelnya pasaran gtuloh,yaa bagaimana yaa barang lokal cenderung mahal pakk bagus modelnya thrift murah modelnya pasaran gtuloh,yaa bagaimana yaa barang lokal cenderung mahal pakk bagus model thrift murah model pasar gtuloh
2053,biiiraa,tapi bisa aja pak impor dari luar negeri kita kenakan pajak,tapi bisa aja pak impor dari luar negeri kita kenakan pajak,tapi bisa aja pak impor dari luar negeri kita kenakan pajak,"['tapi', 'bisa', 'aja', 'pak', 'impor', 'dari', 'luar', 'negeri', 'kita', 'kenakan', 'pajak']",impor negeri kenakan pajak,impor negeri kenakan pajak,impor negeri kena pajak
2054,rifkynazarm,cc @arsyadhi_,cc,cc,['cc'],cc,cc,cc
2055,aziz.gejo,"Seandainya harga produk lokal juga di kontrol oleh pihak pemerintah pasti bisa, karena pada dasar nya type pelaku usaha/SDM kita kalau brand nya sudah naik/terkenal walaupun ga terkenal2 amat, di kemudian hari dia menurunkan kelas kualitas & menstabilkan harga diri nya ( CARI UNTUNG GEDE BIAR CEPAT KAYA ).",Seandainya harga produk lokal juga di kontrol oleh pihak pemerintah pasti bisa  karena pada dasar nya type pelaku usaha SDM kita kalau brand nya sudah naik terkenal walaupun ga terkenal amat  di kemudian hari dia menurunkan kelas kualitas  menstabilkan harga diri nya  CARI UNTUNG GEDE BIAR CEPAT KAYA,seandainya harga produk lokal juga di kontrol oleh pihak pemerintah pasti bisa  karena pada dasar nya type pelaku usaha sdm kita kalau brand nya sudah naik terkenal walaupun ga terkenal amat  di kemudian hari dia menurunkan kelas kualitas  menstabilkan harga diri nya  cari untung gede biar cepat kaya,"['seandainya', 'harga', 'produk', 'lokal', 'juga', 'di', 'kontrol', 'oleh', 'pihak', 'pemerintah', 'pasti', 'bisa', 'karena', 'pada', 'dasar', 'nya', 'type', 'pelaku', 'usaha', 'sdm', 'kita', 'kalau', 'brand', 'nya', 'sudah', 'naik', 'terkenal', 'walaupun', 'ga', 'terkenal', 'amat', 'di', 'kemudian', 'hari', 'dia', 'menurunkan', 'kelas', 'kualitas', 'menstabilkan', 'harga', 'diri', 'nya', 'cari', 'untung', 'gede', 'biar', 'cepat', 'kaya']",seandainya harga produk lokal kontrol pemerintah dasar type pelaku usaha sdm brand terkenal terkenal menurunkan kelas kualitas menstabilkan harga cari untung gede cepat kaya,seandainya harga produk lokal kontrol pemerintah dasar type pelaku usaha sdm brand terkenal terkenal menurunkan kelas kualitas menstabilkan harga cari untung besar cepat kaya,anda harga produk lokal kontrol perintah dasar type laku usaha sdm brand kenal kenal turun kelas kualitas stabil harga cari untung besar cepat kaya
2056,fiannsmd,jadi solusinya gimana ngab owi,jadi solusinya gimana ngab owi,jadi solusinya gimana ngab owi,"['jadi', 'solusinya', 'gimana', 'ngab', 'owi']",solusinya gimana ngab owi,solusinya bagaimana ngab owi,solusi bagaimana ngab owi
2057,kingbosky_,Kumaha lamun eta baju urut jelma nu ges maot ti luar nagreg lurrr trs awak na panyakitan😂,Kumaha lamun eta baju urut jelma nu ges maot ti luar nagreg lurr trs awak na panyakitan,kumaha lamun eta baju urut jelma nu ges maot ti luar nagreg lurr trs awak na panyakitan,"['kumaha', 'lamun', 'eta', 'baju', 'urut', 'jelma', 'nu', 'ges', 'maot', 'ti', 'luar', 'nagreg', 'lurr', 'trs', 'awak', 'na', 'panyakitan']",kumaha lamun eta baju urut jelma nu ges maot ti nagreg lurr trs awak na panyakitan,bagaimana lamun eta baju urut jelma nu ges maot ti nagreg lurr terus awak na panyakitan,bagaimana lamun eta baju urut jelma nu ges maot ti nagreg lurr terus awak na panyakitan
2058,julian.sultann,PANAS KO SAMA THRIFTING😂🔥🔥🔥🔥,PANAS KO SAMA THRIFTING,panas ko sama thrifting,"['panas', 'ko', 'sama', 'thrifting']",panas ko thrifting,panas ko thrifting,panas ko thrifting
2059,diah.m_02,"thrift model nya lucu2, banyak rare item, murce lagii🤌🥰🥰",thrift model nya lucu  banyak rare item  murce lagii,thrift model nya lucu  banyak rare item  murce lagii,"['thrift', 'model', 'nya', 'lucu', 'banyak', 'rare', 'item', 'murce', 'lagii']",thrift model lucu rare item murce lagii,thrift model lucu rare item murce lagii,thrift model lucu rare item murce lagi
2060,saifulmaghribii,Matiin rejeki orang,Matiin rejeki orang,matiin rejeki orang,"['matiin', 'rejeki', 'orang']",matiin rejeki orang,matikan rejeki orang,mati rejeki orang
2061,ronihamdani221,Musuh terlihat,Musuh terlihat,musuh terlihat,"['musuh', 'terlihat']",musuh,musuh,musuh
2062,em_bisyr,Klo Impor beras saat petani lokal panen raya gimna?,Klo Impor beras saat petani lokal panen raya gimna,klo impor beras saat petani lokal panen raya gimna,"['klo', 'impor', 'beras', 'saat', 'petani', 'lokal', 'panen', 'raya', 'gimna']",impor beras petani lokal panen raya gimna,impor beras petani lokal panen raya bagaimana,impor beras tani lokal panen raya bagaimana
2063,yhns.diky,"Solusi nya:
Beli di serba 35",Solusi nya  Beli di serba,solusi nya  beli di serba,"['solusi', 'nya', 'beli', 'di', 'serba']",solusi beli serba,solusi beli serba,solusi beli serba
2064,wpi.rh,Gmn brand lokal mau berkembang kalo tertarik y Ama barang murah bekasan.... Duh takut diserang kaum mendang mending tapi g mau coba😹😹😹😹😹😹😹😹😝,Gmn brand lokal mau berkembang kalo tertarik Ama barang murah bekasan  Duh takut diserang kaum mendang mending tapi mau coba,gmn brand lokal mau berkembang kalo tertarik ama barang murah bekasan  duh takut diserang kaum mendang mending tapi mau coba,"['gmn', 'brand', 'lokal', 'mau', 'berkembang', 'kalo', 'tertarik', 'ama', 'barang', 'murah', 'bekasan', 'duh', 'takut', 'diserang', 'kaum', 'mendang', 'mending', 'tapi', 'mau', 'coba']",gmn brand lokal berkembang tertarik ama barang murah bekasan duh takut diserang kaum mendang mending coba,bagaimana brand lokal berkembang tertarik sama barang murah bekasan duh takut diserang kaum mendang mending coba,bagaimana brand lokal kembang tarik sama barang murah bekas duh takut serang kaum dang mending coba
2065,keteudu,*seleb2 yang pake brand Prancis: kasian deh selalu kena aturan government :),seleb yang pake brand Prancis  kasian deh selalu kena aturan government,seleb yang pake brand prancis  kasian deh selalu kena aturan government,"['seleb', 'yang', 'pake', 'brand', 'prancis', 'kasian', 'deh', 'selalu', 'kena', 'aturan', 'government']",seleb pake brand prancis kasian deh kena aturan government,seleb pakai brand perancis kasihan deh kena aturan government,seleb pakai brand perancis kasihan deh kena atur government
2066,rafbrar,"Cape2 komentar kasih aspirasi, yang baca juga admin folkative bukan pemerintah nya langsung",Cape komentar kasih aspirasi  yang baca juga admin folkative bukan pemerintah nya langsung,cape komentar kasih aspirasi  yang baca juga admin folkative bukan pemerintah nya langsung,"['cape', 'komentar', 'kasih', 'aspirasi', 'yang', 'baca', 'juga', 'admin', 'folkative', 'bukan', 'pemerintah', 'nya', 'langsung']",cape komentar kasih aspirasi baca admin folkative pemerintah langsung,capek komentar kasih aspirasi baca admin folkative pemerintah langsung,capek komentar kasih aspirasi baca admin folkative perintah langsung
2068,haikcool,solusinya beruang petir,solusinya beruang petir,solusinya beruang petir,"['solusinya', 'beruang', 'petir']",solusinya beruang petir,solusinya beruang petir,solusi beruang petir
2070,hendrobundera,PALING ENAK PAKAI KAOS ORMAS ..,PALING ENAK PAKAI KAOS ORMAS,paling enak pakai kaos ormas,"['paling', 'enak', 'pakai', 'kaos', 'ormas']",enak pakai kaos ormas,enak pakai kaos ormas,enak pakai kaos ormas
2071,wiraashr,waduh apa benar begitu jo?,waduh apa benar begitu jo,waduh apa benar begitu jo,"['waduh', 'apa', 'benar', 'begitu', 'jo']",jo,jangan,jangan
2072,afif_nurdin,"Ganggu??? Sudah dari dlu pakkkk ,makannya klo kualitas lokal mahhh jgn terlalu lokal bgt lahhh ,kualitas lokal yang pantas di pakai itu cuma Batik ,itu udh paling cakep dan pas di pake ,kalo yang lain pasti ada kekurangan nya yakin",Ganggu  Sudah dari dlu pakk  makannya klo kualitas lokal mahh jgn terlalu lokal bgt lahh  kualitas lokal yang pantas di pakai itu cuma Batik  itu udh paling cakep dan pas di pake  kalo yang lain pasti ada kekurangan nya yakin,ganggu  sudah dari dlu pakk  makannya klo kualitas lokal mahh jgn terlalu lokal bgt lahh  kualitas lokal yang pantas di pakai itu cuma batik  itu udh paling cakep dan pas di pake  kalo yang lain pasti ada kekurangan nya yakin,"['ganggu', 'sudah', 'dari', 'dlu', 'pakk', 'makannya', 'klo', 'kualitas', 'lokal', 'mahh', 'jgn', 'terlalu', 'lokal', 'bgt', 'lahh', 'kualitas', 'lokal', 'yang', 'pantas', 'di', 'pakai', 'itu', 'cuma', 'batik', 'itu', 'udh', 'paling', 'cakep', 'dan', 'pas', 'di', 'pake', 'kalo', 'yang', 'lain', 'pasti', 'ada', 'kekurangan', 'nya', 'yakin']",ganggu dlu pakk makannya kualitas lokal mahh lokal bgt lahh kualitas lokal pakai batik udh cakep pas pake kekurangan,ganggu dulu pakk makannya kualitas lokal mahh lokal banget lahh kualitas lokal pakai batik sudah cakep pas pakai kekurangan,ganggu dulu pakk makan kualitas lokal mahh lokal banget lahh kualitas lokal pakai batik sudah cakep pas pakai kurang
2073,wisse.inu,Berisik nih ngab owi,Berisik nih ngab owi,berisik nih ngab owi,"['berisik', 'nih', 'ngab', 'owi']",berisik ngab owi,berisik ngab owi,berisik ngab owi
2074,pejerr,si paling impor,si paling impor,si paling impor,"['si', 'paling', 'impor']",impor,impor,impor
2075,iysssssssz,"Lokal mahal pak, thrift murah bahan berkualitas pak",Lokal mahal pak  thrift murah bahan berkualitas pak,lokal mahal pak  thrift murah bahan berkualitas pak,"['lokal', 'mahal', 'pak', 'thrift', 'murah', 'bahan', 'berkualitas', 'pak']",lokal mahal thrift murah bahan berkualitas,lokal mahal thrift murah bahan berkualitas,lokal mahal thrift murah bahan kualitas
2076,dikdty_,Tenaga kerja impor jauh lebih menggangu pakde😌,Tenaga kerja impor jauh lebih menggangu pakde,tenaga kerja impor jauh lebih menggangu pakde,"['tenaga', 'kerja', 'impor', 'jauh', 'lebih', 'menggangu', 'pakde']",tenaga kerja impor menggangu pakde,tenaga kerja impor menggangu pakde,tenaga kerja impor menggangu pakde
2077,mchskti_,Asu,Asu,asu,['asu'],asu,asu,asu
2078,_mars_sella,😂nanti kita pake bajunya seragaman ajah pak kalau gak batik pake baju item kek di korea utara🫠 eh apa mau pake warna merah seklian biar kek....,nanti kita pake bajunya seragaman ajah pak kalau gak batik pake baju item kek di korea utara  eh apa mau pake warna merah seklian biar kek,nanti kita pake bajunya seragaman ajah pak kalau gak batik pake baju item kek di korea utara  eh apa mau pake warna merah seklian biar kek,"['nanti', 'kita', 'pake', 'bajunya', 'seragaman', 'ajah', 'pak', 'kalau', 'gak', 'batik', 'pake', 'baju', 'item', 'kek', 'di', 'korea', 'utara', 'eh', 'apa', 'mau', 'pake', 'warna', 'merah', 'seklian', 'biar', 'kek']",pake bajunya seragaman ajah batik pake baju item kek korea utara eh pake warna merah seklian kek,pakai bajunya seragaman saja batik pakai baju item seperti korea utara eh pakai warna merah sekalian seperti,pakai baju seragam saja batik pakai baju item seperti korea utara eh pakai warna merah sekali seperti
2079,enimoz,Ah..teringat rumus beliau,Ah  teringat rumus beliau,ah  teringat rumus beliau,"['ah', 'teringat', 'rumus', 'beliau']",ah rumus beliau,ah rumus beliau,ah rumus beliau
2080,reksypratamaa,ingin memajukan beruang petir akar khh???,ingin memajukan beruang petir akar khh,ingin memajukan beruang petir akar khh,"['ingin', 'memajukan', 'beruang', 'petir', 'akar', 'khh']",memajukan beruang petir akar khh,memajukan beruang petir akar khh,maju beruang petir akar khh
2081,trisnapratamaa_,Bang Mohan tersenyum melihat ini,Bang Mohan tersenyum melihat ini,bang mohan tersenyum melihat ini,"['bang', 'mohan', 'tersenyum', 'melihat', 'ini']",bang mohan tersenyum,bang mohan tersenyum,bang mohan senyum
2082,mitramustakim,"@mitramustakim oiya, yg bikin hype brand luar (meskipun kW) para influencers juga.",oiya  yg bikin hype brand luar  meskipun kW  para influencers juga,oiya  yg bikin hype brand luar  meskipun kw  para influencers juga,"['oiya', 'yg', 'bikin', 'hype', 'brand', 'luar', 'meskipun', 'kw', 'para', 'influencers', 'juga']",oiya hype brand kw influencers,oiya hype brand kau influencers,oiya hype brand kau influencers
2083,syarifalexanderhutagalung,Hutang luar negeri negara juga mengganggu anak cucu kita pak de,Hutang luar negeri negara juga mengganggu anak cucu kita pak de,hutang luar negeri negara juga mengganggu anak cucu kita pak de,"['hutang', 'luar', 'negeri', 'negara', 'juga', 'mengganggu', 'anak', 'cucu', 'kita', 'pak', 'de']",hutang negeri negara mengganggu anak cucu de,hutang negeri negara mengganggu anak cucu de,hutang negeri negara ganggu anak cucu de
2084,ganjar_2024_,Klo beli produk EIGER itu brand lokal apa asing yaa ?,Klo beli produk EIGER itu brand lokal apa asing yaa,klo beli produk eiger itu brand lokal apa asing yaa,"['klo', 'beli', 'produk', 'eiger', 'itu', 'brand', 'lokal', 'apa', 'asing', 'yaa']",beli produk eiger brand lokal asing yaa,beli produk eiger brand lokal asing yaa,beli produk eiger brand lokal asing yaa
2085,patiteti,Pakaian bekas luar negeri bagus pak.. kualitas Luar biasa dengan harga yg murah.. Kalo produk dalam negeri ada yg biasa biasa saja tapi mahal nya luar biasa,Pakaian bekas luar negeri bagus pak  kualitas Luar biasa dengan harga yg murah  Kalo produk dalam negeri ada yg biasa biasa saja tapi mahal nya luar biasa,pakaian bekas luar negeri bagus pak  kualitas luar biasa dengan harga yg murah  kalo produk dalam negeri ada yg biasa biasa saja tapi mahal nya luar biasa,"['pakaian', 'bekas', 'luar', 'negeri', 'bagus', 'pak', 'kualitas', 'luar', 'biasa', 'dengan', 'harga', 'yg', 'murah', 'kalo', 'produk', 'dalam', 'negeri', 'ada', 'yg', 'biasa', 'biasa', 'saja', 'tapi', 'mahal', 'nya', 'luar', 'biasa']",pakaian bekas negeri bagus kualitas harga murah produk negeri mahal,pakaian bekas negeri bagus kualitas harga murah produk negeri mahal,pakai bekas negeri bagus kualitas harga murah produk negeri mahal
2086,puja.kerangajaib1,@ciciration_ manut dalane,manut dalane,manut dalane,"['manut', 'dalane']",manut dalane,ngikut dalane,ngikut dalane
2087,grouperwhopper,"Udah paling bener pake baju partai, bentar lagi big sale 20.24",Udah paling bener pake baju partai  bentar lagi big sale,udah paling bener pake baju partai  bentar lagi big sale,"['udah', 'paling', 'bener', 'pake', 'baju', 'partai', 'bentar', 'lagi', 'big', 'sale']",udah bener pake baju partai bentar big sale,sudah bener pakai baju partai bentar big sale,sudah bener pakai baju partai bentar big sale
2088,kiaroo28,Mungkin pak jokowi gatau rasanya dapet sepatu idaman branded dengan harga miring 🤣,Mungkin pak jokowi gatau rasanya dapet sepatu idaman branded dengan harga miring,mungkin pak jokowi gatau rasanya dapet sepatu idaman branded dengan harga miring,"['mungkin', 'pak', 'jokowi', 'gatau', 'rasanya', 'dapet', 'sepatu', 'idaman', 'branded', 'dengan', 'harga', 'miring']",jokowi gatau dapet sepatu idaman branded harga miring,jokowi tidak tau dapet sepatu idaman branded harga miring,jokowi tidak tau dapet sepatu idam branded harga miring
2089,doddyfebri,@darmayudaginting @tegarpramdya ngak usah lagi bro ke panorama,ngak usah lagi bro ke panorama,ngak usah lagi bro ke panorama,"['ngak', 'usah', 'lagi', 'bro', 'ke', 'panorama']",ngak bro panorama,tidak bro panorama,tidak bro panorama
2090,fareh_official,Butuhnya solusi pak biar ttep bisa beliin sarapan dan berbagi rokok,Butuhnya solusi pak biar ttep bisa beliin sarapan dan berbagi rokok,butuhnya solusi pak biar ttep bisa beliin sarapan dan berbagi rokok,"['butuhnya', 'solusi', 'pak', 'biar', 'ttep', 'bisa', 'beliin', 'sarapan', 'dan', 'berbagi', 'rokok']",butuhnya solusi ttep beliin sarapan berbagi rokok,butuhnya solusi ttep beliin sarapan berbagi rokok,butuh solusi ttep beliin sarap bagi rokok
2091,mealsandtrashes,"harusnya si sesuai market aja gasii wkshshxgs, cuma terkadang olang olang berduwit pun ingin fesyenebel tetapi duwitnya tetap aman jd ikutan thrift thrift gini yg pdhl keuangan mereka cukup buat beli brand lokal (dan baru) atau sekalinya olang kaya belinya yaaa brand luar biar terlihat keyen :D",harusnya si sesuai market aja gasii wkshshxgs  cuma terkadang olang olang berduwit pun ingin fesyenebel tetapi duwitnya tetap aman jd ikutan thrift thrift gini yg pdhl keuangan mereka cukup buat beli brand lokal  dan baru  atau sekalinya olang kaya belinya yaa brand luar biar terlihat keyen,harusnya si sesuai market aja gasii wkshshxgs  cuma terkadang olang olang berduwit pun ingin fesyenebel tetapi duwitnya tetap aman jd ikutan thrift thrift gini yg pdhl keuangan mereka cukup buat beli brand lokal  dan baru  atau sekalinya olang kaya belinya yaa brand luar biar terlihat keyen,"['harusnya', 'si', 'sesuai', 'market', 'aja', 'gasii', 'wkshshxgs', 'cuma', 'terkadang', 'olang', 'olang', 'berduwit', 'pun', 'ingin', 'fesyenebel', 'tetapi', 'duwitnya', 'tetap', 'aman', 'jd', 'ikutan', 'thrift', 'thrift', 'gini', 'yg', 'pdhl', 'keuangan', 'mereka', 'cukup', 'buat', 'beli', 'brand', 'lokal', 'dan', 'baru', 'atau', 'sekalinya', 'olang', 'kaya', 'belinya', 'yaa', 'brand', 'luar', 'biar', 'terlihat', 'keyen']",sesuai market gasii wkshshxgs terkadang olang olang berduwit fesyenebel duwitnya aman ikutan thrift thrift gini pdhl keuangan beli brand lokal sekalinya olang kaya belinya yaa brand keyen,sesuai market gasii wkshshxgs terkadang olang olang berduwit fesyenebel duwitnya aman ikutan thrift thrift begini padahal keuangan beli brand lokal sekalinya olang kaya belinya yaa brand keyen,sesuai market gasii wkshshxgs terkadang olang olang berduwit fesyenebel duwitnya aman ikut thrift thrift begini padahal uang beli brand lokal sekali olang kaya beli yaa brand yen
2094,busyboyyy_,lol,lol,lol,['lol'],lol,tertawa,tertawa
2095,xwythwy,"Murah, bagus, dan jarang yg nyamain kalo dipake. Yagimana ya",Murah  bagus  dan jarang yg nyamain kalo dipake  Yagimana ya,murah  bagus  dan jarang yg nyamain kalo dipake  yagimana ya,"['murah', 'bagus', 'dan', 'jarang', 'yg', 'nyamain', 'kalo', 'dipake', 'yagimana', 'ya']",murah bagus jarang nyamain dipake yagimana,murah bagus jarang nyamain dipakai yagimana,murah bagus jarang nyamain pakai yagimana
2096,restiadristi,tp tdk mengganggu dompetku paaa 😩,tp tdk mengganggu dompetku paa,tp tdk mengganggu dompetku paa,"['tp', 'tdk', 'mengganggu', 'dompetku', 'paa']",tp mengganggu dompetku paa,tetapi mengganggu dompetku paa,tetapi ganggu dompet paa
2097,febrykasnawan,KOCAK,KOCAK,kocak,['kocak'],kocak,kocak,kocak
2098,prclynaa_,Jgn dimahalin pakaiannya pak saya ingin 100rb dapat 3 🥲🙃,Jgn dimahalin pakaiannya pak saya ingin rb dapat,jgn dimahalin pakaiannya pak saya ingin rb dapat,"['jgn', 'dimahalin', 'pakaiannya', 'pak', 'saya', 'ingin', 'rb', 'dapat']",dimahalin pakaiannya rb,dimahalin pakaiannya rb,dimahalin pakai rb
2099,muhfarhanth,"Yang punya brand lokal punya modal gede untuk alat konveksi dll, berbanding terbalik dengan pengais rezeki thrifting, kebanyakan dari kalangan menengah ke bawah yang mulai usaha kecil, ini jatohnya membuat yang kaya makin kaya yang miskin makin miskin, masyarakat Indonesia 200 juta lebih , sampe sekarang pun balance sebenernya , antara lokal dan import",Yang punya brand lokal punya modal gede untuk alat konveksi dll  berbanding terbalik dengan pengais rezeki thrifting  kebanyakan dari kalangan menengah ke bawah yang mulai usaha kecil  ini jatohnya membuat yang kaya makin kaya yang miskin makin miskin  masyarakat Indonesia juta lebih  sampe sekarang pun balance sebenernya  antara lokal dan import,yang punya brand lokal punya modal gede untuk alat konveksi dll  berbanding terbalik dengan pengais rezeki thrifting  kebanyakan dari kalangan menengah ke bawah yang mulai usaha kecil  ini jatohnya membuat yang kaya makin kaya yang miskin makin miskin  masyarakat indonesia juta lebih  sampe sekarang pun balance sebenernya  antara lokal dan import,"['yang', 'punya', 'brand', 'lokal', 'punya', 'modal', 'gede', 'untuk', 'alat', 'konveksi', 'dll', 'berbanding', 'terbalik', 'dengan', 'pengais', 'rezeki', 'thrifting', 'kebanyakan', 'dari', 'kalangan', 'menengah', 'ke', 'bawah', 'yang', 'mulai', 'usaha', 'kecil', 'ini', 'jatohnya', 'membuat', 'yang', 'kaya', 'makin', 'kaya', 'yang', 'miskin', 'makin', 'miskin', 'masyarakat', 'indonesia', 'juta', 'lebih', 'sampe', 'sekarang', 'pun', 'balance', 'sebenernya', 'antara', 'lokal', 'dan', 'import']",brand lokal modal gede alat konveksi dll berbanding terbalik pengais rezeki thrifting kebanyakan kalangan menengah usaha jatohnya kaya kaya miskin miskin masyarakat indonesia juta sampe balance sebenernya lokal import,brand lokal modal besar alat konveksi dan lain-lain berbanding terbalik pengais rezeki thrifting kebanyakan kalangan menengah usaha jatohnya kaya kaya miskin miskin masyarakat indonesia juta sampai balance sebenernya lokal import,brand lokal modal besar alat konveksi dan lain banding balik kais rezeki thrifting banyak kalang tengah usaha jatohnya kaya kaya miskin miskin masyarakat indonesia juta sampai balance sebenernya lokal import
2100,ilhampdhlh,ogah pake baju beruang petir,ogah pake baju beruang petir,ogah pake baju beruang petir,"['ogah', 'pake', 'baju', 'beruang', 'petir']",ogah pake baju beruang petir,ogah pakai baju beruang petir,ogah pakai baju beruang petir
2101,binahidayatt,"Merek lokal tambahin dong big size, modelnya keren"" tapi ngak muat wkwk",Merek lokal tambahin dong big size  modelnya keren  tapi ngak muat wkwk,merek lokal tambahin dong big size  modelnya keren  tapi ngak muat wkwk,"['merek', 'lokal', 'tambahin', 'dong', 'big', 'size', 'modelnya', 'keren', 'tapi', 'ngak', 'muat', 'wkwk']",merek lokal tambahin big size modelnya keren ngak muat wkwk,merek lokal tambahin big size modelnya keren tidak muat wkwk,merek lokal tambahin big size model keren tidak muat wkwk
2102,tyo_oyete,setuju. saya juga mendukung larangan pakaian bekas impor,setuju  saya juga mendukung larangan pakaian bekas impor,setuju  saya juga mendukung larangan pakaian bekas impor,"['setuju', 'saya', 'juga', 'mendukung', 'larangan', 'pakaian', 'bekas', 'impor']",setuju mendukung larangan pakaian bekas impor,setuju mendukung larangan pakaian bekas impor,tuju dukung larang pakai bekas impor
2103,raflirachmad,"apa gak jijik ya beli baju bekas , minimal beli matahari di online kaos aja cm 40rban , kok sebegitu ngenesnya beli baju seken 😢",apa gak jijik ya beli baju bekas  minimal beli matahari di online kaos aja cm rban  kok sebegitu ngenesnya beli baju seken,apa gak jijik ya beli baju bekas  minimal beli matahari di online kaos aja cm rban  kok sebegitu ngenesnya beli baju seken,"['apa', 'gak', 'jijik', 'ya', 'beli', 'baju', 'bekas', 'minimal', 'beli', 'matahari', 'di', 'online', 'kaos', 'aja', 'cm', 'rban', 'kok', 'sebegitu', 'ngenesnya', 'beli', 'baju', 'seken']",jijik beli baju bekas minimal beli matahari online kaos cm rban ngenesnya beli baju seken,jijik beli baju bekas minimal beli matahari online kaos cm rban ngenesnya beli baju bekas,jijik beli baju bekas minimal beli matahari online kaos cm rban ngenesnya beli baju bekas
2105,axl_zuno,Maca ci,Maca ci,maca ci,"['maca', 'ci']",maca ci,maca ci,maca ci
2106,affectionpoc_,nt parah ini mah brader,nt parah ini mah brader,nt parah ini mah brader,"['nt', 'parah', 'ini', 'mah', 'brader']",nt parah mah brader,nt parah mah brader,nt parah mah brader
